ParentID,ID
971,2971
972,2972
973,2973
974,2974
975,2975
976,2976
977,2977
978,2978
979,2979
980,2980
981,2981
982,2982
983,2983
984,2984
985,2985
986,2986
987,2987
988,2988
989,2989
990,2990
991,2991
992,2992
993,2993
994,2994
995,2995
996,2996
997,2997
998,2998
999,2999
1000,3000
1001,3001
1002,3002
1003,3003
1004,3004
1005,3005
1006,3006
1007,3007
1008,3008
1009,3009
1010,3010
1011,3011
1012,3012
1013,3013
1014,3014
1015,3015
1016,3016
1017,3017
1018,3018
1019,3019
1020,3020
1021,3021
1022,3022
1023,3023
1024,3024
1025,3025
1026,3026
1027,3027
1028,3028
1029,3029
1030,3030
1031,3031
1032,3032
1033,3033
1034,3034
1035,3035
1036,3036
1037,3037
1038,3038
1039,3039
1040,3040
1041,3041
1042,3042
1043,3043
1044,3044
1045,3045
1046,3046
1047,3047
1048,3048
1049,3049
1050,3050
1051,3051
1052,3052
1053,3053
1054,3054
1055,3055
1056,3056
1057,3057
1058,3058
1059,3059
1060,3060
1061,3061
1062,3062
1063,3063
1064,3064
1065,3065
1066,3066
1067,3067
1068,3068
1069,3069
1070,3070
1071,3071
1072,3072
1073,3073
1074,3074
1075,3075
1076,3076
1077,3077
1078,3078
1079,3079
1080,3080
1081,3081
1082,3082
1083,3083
1084,3084
1085,3085
1086,3086
1087,3087
1088,3088
1089,3089
1090,3090
1091,3091
1092,3092
1093,3093
1094,3094
1095,3095
1096,3096
1097,3097
1098,3098
1099,3099
1100,3100
1101,3101
1102,3102
1103,3103
1104,3104
1105,3105
1106,3106
1107,3107
1108,3108
1109,3109
1110,3110
1111,3111
1112,3112
1113,3113
1114,3114
1115,3115
1116,3116
1117,3117
1118,3118
1119,3119
1120,3120
1121,3121
1122,3122
1123,3123
1124,3124
1125,3125
1126,3126
1127,3127
1128,3128
1129,3129
1130,3130
1131,3131
1132,3132
1133,3133
1134,3134
1135,3135
1136,3136
1137,3137
1138,3138
1139,3139
1140,3140
1141,3141
1142,3142
1143,3143
1144,3144
1145,3145
1146,3146
1147,3147
1148,3148
1149,3149
1150,3150
1151,3151
1152,3152
1153,3153
1154,3154
1155,3155
1156,3156
1157,3157
1158,3158
1159,3159
1160,3160
1161,3161
1162,3162
1163,3163
1164,3164
1165,3165
1166,3166
1167,3167
1168,3168
1169,3169
1170,3170
1171,3171
1172,3172
1173,3173
1174,3174
1175,3175
1176,3176
1177,3177
1178,3178
1179,3179
1180,3180
1181,3181
1182,3182
1183,3183
1184,3184
1185,3185
1186,3186
1187,3187
1188,3188
1189,3189
1190,3190
1191,3191
1192,3192
1193,3193
1194,3194
1195,3195
1196,3196
1197,3197
1198,3198
1199,3199
1200,3200
1201,3201
1202,3202
1203,3203
1204,3204
1205,3205
1206,3206
1207,3207
1208,3208
1209,3209
1210,3210
1211,3211
1212,3212
1213,3213
1214,3214
1215,3215
1216,3216
1217,3217
1218,3218
1219,3219
1220,3220
1221,3221
1222,3222
1223,3223
1224,3224
1225,3225
1226,3226
1227,3227
1228,3228
1229,3229
1230,3230
1231,3231
1232,3232
1233,3233
1234,3234
1235,3235
1236,3236
1237,3237
1238,3238
1239,3239
1240,3240
1241,3241
1242,3242
1243,3243
1244,3244
1245,3245
1246,3246
1247,3247
1248,3248
1249,3249
1250,3250
1251,3251
1252,3252
1253,3253
1254,3254
1255,3255
1256,3256
1257,3257
1258,3258
1259,3259
